City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Manakara,MG,73.02,scattered clouds,-22.1333,48.0167,La Residence Manakara
319,Nador,MA,61.05,clear sky,35.174,-2.9287,Hôtel La Giralda
320,Bull Savanna,JM,73.62,broken clouds,17.8868,-77.5902,Big Red's
321,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
323,Sola,VU,82.72,few clouds,-13.8833,167.55,Leumerus Bungalows
324,Maxixe,MZ,72.16,light rain,-23.8597,35.3472,Oceano
326,Camana,PE,66.18,overcast clouds,-16.6228,-72.7111,Hostal Morales
328,Puro,PH,84.36,broken clouds,12.4841,123.3827,
330,Neuquen,AR,66.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
331,San-Pedro,CI,76.96,clear sky,4.7485,-6.6363,Hotel Maria
335,Harper,LR,78.4,few clouds,4.375,-7.7169,Screensaver
336,Kingman,US,60.89,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
337,Along,IN,67.41,overcast clouds,28.1667,94.7667,Hotel West
340,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
341,Hirara,JP,68.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
342,Candolim,IN,77.0,mist,15.5181,73.7626,Resort Terra Paraiso
343,Samarai,PG,85.89,few clouds,-10.6167,150.6667,Nuli Sapi
344,Tezu,IN,70.12,overcast clouds,27.9167,96.1667,Circuit House
345,Mana,GF,77.18,broken clouds,5.6592,-53.7767,LE SAMANA
346,Waitara,NZ,71.73,scattered clouds,-38.925,174.25,
347,Nortelandia,BR,74.14,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
350,Ulladulla,AU,71.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
351,Manali,IN,80.69,overcast clouds,13.1667,80.2667,Sarathy Lodge
353,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
356,Goure,NE,77.02,clear sky,13.9835,10.2704,
357,San Quintin,MX,65.62,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
358,Terenos,BR,74.91,clear sky,-20.4422,-54.8603,Rancho Pitzer
365,Aiquile,BO,62.83,overcast clouds,-18.2041,-65.1807,Hotel Santa Ana
366,Malanje,AO,62.71,overcast clouds,-9.5402,16.341,Malanje Hotel
